Test_ID,Theta1,Theta2,Pt,type,original_type,confidence,data_quality
Test_001,11,49,11016.5431411,2,2,high,ok
Test_002,-15,-71,11700.1177156,2,2,high,ok
Test_003,-88,11,10710.2722324,2,2,high,ok
Test_004,-25,-46,12392.9921577,2,2,high,ok
Test_005,32,27,11379.7484883,2,2,high,ok
Test_006,-76,-52,11416.5282671,1,1,high,ok
Test_007,-66,-12,11246.0538027,2,2,high,ok
Test_008,-43,77,13800.9876706,1,2,high,ok
Test_009,75,40,13748.8356,1,1,high,ok
Test_010,-63,87,7961.14295199,1,1,high,ok
Test_011,-72,-8,10880.1311718,2,2,high,ok
Test_012,-84,47,11807.1005286,1,1,high,ok
Test_013,57,48,15150.7104033,1,1,high,ok
Test_014,54,51,14087.4922414,1,1,high,ok
Test_015,17,33,10147.0146016,2,2,high,ok
Test_016,52,44,15389.4510576,1,1,high,ok
Test_017,-41,73,14066.9083979,2,2,high,ok
Test_018,88,18,11268.6646619,2,2,high,ok
Test_019,-28,-86,12696.7037594,2,2,high,ok
Test_020,-15,-39,10465.3629268,2,2,high,ok
Test_021,-2,-69,10946.161437,2,2,high,ok
Test_022,-19,-70,12126.1621855,2,2,high,ok
Test_023,-49,30,13141.5343455,2,2,high,ok
Test_024,59,-11,11242.0417724,2,2,high,ok
Test_025,-11,53,11303.2786439,2,2,high,ok
Test_026,-56,40,14645.6488478,1,1,high,ok
Test_027,62,-28,13035.0377729,2,2,high,ok
Test_028,-60,15,11649.3161919,2,2,high,ok
Test_029,-86,4,10320.7757557,2,2,high,ok
Test_030,-45,-21,11546.7100145,2,2,high,ok
Test_031,39,-42,15017.7750069,1,1,high,ok
Test_032,-68,32,13277.3287505,2,2,high,ok
Test_033,30,-72,13215.3548123,2,2,high,ok
Test_034,65,-56,12354.3019315,1,1,high,ok
Test_035,62,45,14991.9020856,1,1,high,ok
Test_036,-51,58,13740.0927033,1,1,high,ok
Test_037,82,-75,6153.88558573,1,1,high,ok
Test_038,-37,59,14336.8383295,1,1,high,ok
Test_039,-35,-29,12075.4754961,2,2,high,ok
Test_040,84,24,11962.4358869,2,2,high,ok
Test_041,12,88,10994.1085219,2,2,high,ok
Test_042,-80,36,13227.6951324,2,2,high,ok
Test_043,90,52,10254.8851689,1,1,high,ok
Test_044,-83,8,10548.5869583,2,2,high,ok
Test_045,77,-20,11758.3743013,2,2,high,ok
Test_046,56,-82,9755.35869186,1,1,high,ok
Test_047,-33,64,13728.3061273,2,2,high,ok
Test_048,-23,-2,7396.39157645,3,3,high,ok
Test_049,4,78,10746.0495732,2,2,high,ok
Test_050,-13,60,11613.9478453,2,2,high,ok
Test_051,-54,22,12202.1882605,2,2,high,ok
Test_052,14,-3,6306.63837996,3,3,high,ok
Test_053,-67,23,12333.052393,2,2,high,ok
Test_054,-36,-80,13387.5401103,2,2,high,ok
Test_055,69,-62,10398.0207424,1,1,high,ok
Test_056,88,-61,8280.19797932,1,1,high,ok
Test_057,-85,56,9493.64421018,1,1,high,ok
Test_058,46,41,15249.0629269,1,1,high,ok
Test_059,34,-32,12712.5665375,2,2,high,ok
Test_060,11,-2,6059.58282942,3,3,high,ok
Test_061,19,-67,12225.4857379,2,2,high,ok
Test_062,-45,-80,12860.836074,1,1,high,ok
Test_063,38,69,14003.8210263,2,2,high,ok
Test_064,-65,32,13414.8932304,2,2,high,ok
Test_065,-32,-36,13023.7883099,2,2,high,ok
Test_066,-17,82,11521.5885181,2,2,high,ok
Test_067,-61,78,9145.10917239,1,1,high,ok
Test_068,45,-66,14878.3557705,1,1,high,ok
Test_069,33,-41,13575.4208724,2,2,high,ok
Test_070,48,85,11487.9728116,1,1,high,ok
Test_071,82,86,5101.55234728,1,1,high,ok
Test_072,-21,38,11165.2966163,2,2,high,ok
Test_073,81,-73,6539.6675405,1,1,high,ok
Test_074,78,-23,11993.2061312,2,2,high,ok
Test_075,26,-58,12987.5507827,2,2,high,ok
Test_076,13,14,7038.77670317,3,3,high,ok
Test_077,-6,51,10850.911948,2,2,high,ok
Test_078,73,-45,14002.8855815,2,2,needs_review,short_curve_but_usable
Test_079,0,1,5357.99959509,3,3,high,ok
Test_080,-42,-56,15077.2102818,1,1,high,ok
Test_081,-80,12,10902.2638604,2,2,high,ok
Test_082,23,-15,8380.74445302,3,3,high,ok
Test_083,9,25,8284.22162421,3,3,high,ok
