Test_ID,Theta1,Theta2,Pt,type
Test_001,11.0,49.0,11011.2961091772,2
Test_002,-15.0,-71.0,11586.564596425322,2
Test_003,-88.0,11.0,10716.931732989204,2
Test_004,-25.0,-46.0,12312.454451945736,2
Test_005,32.0,27.0,11302.030914016268,2
Test_006,-76.0,-52.0,11317.84062851288,1
Test_007,-66.0,-12.0,11242.226390760545,2
Test_008,-43.0,77.0,13759.43944505826,1
Test_009,75.0,40.0,13655.920188995991,1
Test_010,-63.0,87.0,7942.928397615446,1
Test_011,-72.0,-8.0,10889.546373183595,2
Test_012,-84.0,47.0,11739.540368921114,1
Test_013,57.0,48.0,15063.294344662709,1
Test_014,54.0,51.0,13934.86844264749,1
Test_015,17.0,33.0,10022.321029494982,2
Test_016,52.0,44.0,15284.484138723994,1
Test_017,-41.0,73.0,14021.893819899817,1
Test_018,88.0,18.0,11264.07957600705,2
Test_019,-28.0,-86.0,12615.596692049405,2
Test_020,-15.0,-39.0,10466.506495891375,2
Test_021,-2.0,-69.0,10943.261820020676,2
Test_022,-19.0,-70.0,12020.360863928992,2
Test_023,-49.0,30.0,13146.503424824214,1
Test_024,59.0,-11.0,11249.244242253311,2
Test_025,-11.0,53.0,11308.608676135596,2
Test_026,-56.0,40.0,14646.844460275654,1
Test_027,62.0,-28.0,13035.419455934516,2
Test_028,-60.0,15.0,11527.75712147158,2
Test_029,-86.0,4.0,10320.00997640067,2
Test_030,-45.0,-21.0,11450.953045757604,2
Test_031,39.0,-42.0,15017.870940238045,1
Test_032,-68.0,32.0,13274.15474804394,2
Test_033,30.0,-72.0,13140.812087499482,2
Test_034,65.0,-56.0,12351.514903597616,1
Test_035,62.0,45.0,14907.545392338012,1
Test_036,-51.0,58.0,13739.890874720544,1
Test_037,82.0,-75.0,6153.597475114149,1
Test_038,-37.0,59.0,14332.66676556077,1
Test_039,-35.0,-29.0,12006.895554676968,2
Test_040,84.0,24.0,11960.17314038846,2
Test_041,12.0,88.0,10861.875067734392,2
Test_042,-80.0,36.0,13228.418708759287,1
Test_043,90.0,52.0,10201.026376389784,1
Test_044,-83.0,8.0,10546.269509072692,2
Test_045,77.0,-20.0,11760.610292373192,2
Test_046,56.0,-82.0,9733.114748313154,1
Test_047,-33.0,64.0,13726.800024139638,1
Test_048,-23.0,-2.0,7397.614978506744,3
Test_049,4.0,78.0,10742.853423410685,2
Test_050,-13.0,60.0,11609.15171734012,2
Test_051,-54.0,22.0,12204.596371805084,2
Test_052,14.0,-3.0,6300.990440991556,3
