Test_ID,Theta1,Theta2,Pt,type,original_type,confidence,data_quality
Test_001,11,49,11011.2961092,2,2,high,ok
Test_002,-15,-71,11586.5645964,2,2,high,ok
Test_003,-88,11,10716.931733,2,2,high,ok
Test_004,-25,-46,12312.4544519,2,2,high,ok
Test_005,32,27,11302.030914,2,2,high,ok
Test_006,-76,-52,11317.8406285,1,1,high,ok
Test_007,-66,-12,11242.2263908,2,2,high,ok
Test_008,-43,77,13759.4394451,1,1,high,ok
Test_009,75,40,13655.920189,1,1,high,ok
Test_010,-63,87,7942.92839762,1,1,high,ok
Test_011,-72,-8,10889.5463732,2,2,high,ok
Test_012,-84,47,11739.5403689,1,1,high,ok
Test_013,57,48,15063.2943447,1,1,high,ok
Test_014,54,51,13934.8684426,1,1,high,ok
Test_015,17,33,10022.3210295,2,2,high,ok
Test_016,52,44,15284.4841387,1,1,high,ok
Test_017,-41,73,14021.8938199,2,1,high,ok
Test_018,88,18,11264.079576,2,2,high,ok
Test_019,-28,-86,12615.596692,2,2,high,ok
Test_020,-15,-39,10466.5064959,2,2,high,ok
Test_021,-2,-69,10943.26182,2,2,high,ok
Test_022,-19,-70,12020.3608639,2,2,high,ok
Test_023,-49,30,13146.5034248,2,1,high,ok
Test_024,59,-11,11249.2442423,2,2,high,ok
Test_025,-11,53,11308.6086761,2,2,high,ok
Test_026,-56,40,14646.8444603,1,1,high,ok
Test_027,62,-28,13035.4194559,2,2,high,ok
Test_028,-60,15,11527.7571215,2,2,high,ok
Test_029,-86,4,10320.0099764,2,2,high,ok
Test_030,-45,-21,11450.9530458,2,2,high,ok
Test_031,39,-42,15017.8709402,1,1,high,ok
Test_032,-68,32,13274.154748,2,2,high,ok
Test_033,30,-72,13140.8120875,2,2,high,ok
Test_034,65,-56,12351.5149036,1,1,high,ok
Test_035,62,45,14907.5453923,1,1,high,ok
Test_036,-51,58,13739.8908747,1,1,high,ok
Test_037,82,-75,6153.59747511,1,1,high,ok
Test_038,-37,59,14332.6667656,1,1,high,ok
Test_039,-35,-29,12006.8955547,2,2,high,ok
Test_040,84,24,11960.1731404,2,2,high,ok
Test_041,12,88,10861.8750677,2,2,high,ok
Test_042,-80,36,13228.4187088,2,1,high,ok
Test_043,90,52,10201.0263764,1,1,high,ok
Test_044,-83,8,10546.2695091,2,2,high,ok
Test_045,77,-20,11760.6102924,2,2,high,ok
Test_046,56,-82,9733.11474831,1,1,high,ok
Test_047,-33,64,13726.8000241,2,1,high,ok
Test_048,-23,-2,7397.61497851,3,3,high,ok
Test_049,4,78,10742.8534234,2,2,high,ok
Test_050,-13,60,11609.1517173,2,2,high,ok
Test_051,-54,22,12204.5963718,2,2,high,ok
Test_052,14,-3,6300.99044099,3,3,high,ok
Test_053,-67,23,12333.831269,2,2,high,ok
Test_054,-36,-80,13328.6170924,2,1,high,ok
Test_055,69,-62,10398.1935933,1,1,high,ok
Test_056,88,-61,8241.59796288,1,1,high,ok
Test_057,-85,56,9449.00038741,1,1,high,ok
Test_058,46,41,15105.2994032,1,1,high,ok
Test_059,34,-32,12712.4369919,2,2,high,ok
Test_060,11,-2,6055.65434826,3,3,medium,short_curve_but_usable
Test_061,19,-67,12124.1583887,2,2,high,ok
Test_062,-45,-80,12713.3128752,1,1,high,ok
Test_063,38,69,13909.7894913,2,1,high,ok
Test_064,-65,32,13412.9027285,2,1,high,ok
Test_065,-32,-36,12914.8956566,2,2,high,ok
Test_066,-17,82,11514.6740322,2,2,high,ok
Test_067,-61,78,9127.18709862,1,1,high,ok
Test_068,45,-66,14877.8607996,1,1,high,ok
Test_069,33,-41,13575.1033316,2,1,high,ok
Test_070,48,85,11390.6216746,1,1,high,ok
Test_071,82,86,5086.42287956,1,1,high,ok
Test_072,-21,38,11159.0857734,2,2,high,ok
Test_073,81,-73,6540.12498476,1,1,high,ok
Test_074,78,-23,11993.2690704,2,2,high,ok
Test_075,26,-58,12979.6804331,2,2,high,ok
Test_076,13,14,7040.28462787,3,3,high,ok
Test_077,-6,51,10863.5648821,2,2,high,ok
Test_078,73,-45,14124.5573614,1,1,high,ok
Test_079,0,1,5357.92259939,3,3,high,ok
Test_080,-42,-56,14957.0899963,1,1,high,ok
Test_081,-80,12,10909.0260958,2,2,high,ok
Test_082,23,-15,8378.18367328,3,3,high,ok
Test_083,9,25,8284.8669635,3,3,high,ok
Test_084,-58,-24,12444.2836255,2,2,high,ok
Test_085,-27,19,9415.99099593,2,2,high,ok
Test_086,-44,-26,12108.8656918,2,2,high,ok
Test_087,87,-65,7492.79006805,1,1,high,ok
Test_088,-9,-87,10758.9887906,2,2,high,ok
Test_089,2,55,10893.2701251,2,2,high,ok
Test_090,40,61,14464.7492882,1,1,high,ok
Test_091,50,-64,14101.899112,1,1,high,ok
Test_092,-7,20,7426.68999791,3,3,high,ok
Test_093,85,-17,11263.5123207,2,2,high,ok
Test_094,18,-59,12146.2977638,2,2,high,ok
Test_095,-26,-51,12701.4639058,2,2,high,ok
Test_096,-86,26,12134.8482333,2,2,high,ok
Test_097,71,68,8771.27632575,1,1,high,ok
Test_098,-1,-33,8954.07697237,3,3,high,ok
Test_099,64,-58,12184.1206697,1,1,high,ok
Test_100,-77,-19,11632.6761619,2,2,high,ok
Test_101,-37,81,13438.5367693,2,2,high,ok
Test_102,-38,46,14808.1990773,2,1,high,ok
Test_103,-40,-10,9846.8012717,2,2,high,ok
Test_104,-31,10,8923.71335701,2,2,high,ok
Test_105,-65,-72,9221.09247104,1,1,high,ok
Test_106,-10,-49,10836.6945277,2,2,high,ok
Test_107,-53,-14,11257.3140444,2,2,high,ok
Test_108,-12,31,9312.22679377,2,2,high,ok
Test_109,44,-41,15345.4017313,1,1,high,ok
Test_110,-74,-31,12920.1977323,2,2,high,ok
Test_111,31,-77,13134.5046744,2,2,high,ok
Test_112,25,2,7653.03885662,3,3,high,ok
Test_113,57,13,11296.7231194,2,2,high,ok
Test_114,42,-63,14715.7225365,2,1,high,ok
Test_115,60,35,13744.0186395,2,1,high,ok
Test_116,29,-81,12818.3842967,2,2,high,ok
Test_117,54,80,10323.1180214,1,1,high,ok
Test_118,83,16,11132.0214102,2,2,high,ok
Test_119,3,27,8230.00436492,3,3,high,ok
Test_120,10,76,11094.5537939,2,2,high,ok
Test_121,-6,-20,7286.98419499,3,3,high,ok
Test_122,-76,-7,10747.2775566,2,2,high,ok
Test_123,-24,0,7450.23480464,3,3,high,ok
Test_124,86,43,12643.7726822,1,1,high,ok
Test_125,15,-39,10459.2392057,2,2,high,ok
Test_126,-78,64,8471.29892218,1,1,high,ok
Test_127,-22,-34,10831.4795245,2,2,high,ok
Test_128,67,-77,8128.15652106,1,1,high,ok
Test_129,53,17,11547.1709873,2,2,high,ok
Test_130,5,84,10574.4405663,2,2,high,ok
Test_131,-89,71,6366.62043489,1,1,high,ok
Test_132,51,58,13543.787667,1,1,high,ok
Test_133,-72,-54,11394.9149,1,1,high,ok
Test_134,-18,71,11921.4773028,2,2,high,ok
Test_135,75,-31,12937.5190947,2,2,high,ok
Test_136,-50,-9,10692.5209167,2,2,high,ok
Test_137,-19,70,12129.5267785,2,2,high,ok
Test_138,37,34,13216.0731954,2,1,high,ok
Test_139,48,-47,14922.4216028,1,1,high,ok
Test_140,-3,-6,5511.0838039,3,3,medium,short_curve_but_usable
Test_141,72,-18,11683.4045351,2,2,high,ok
Test_142,20,-1,7019.25163093,3,3,high,ok
Test_143,8,9,5994.64317605,3,3,medium,short_curve_but_usable
Test_144,27,-85,12537.9637431,2,2,high,ok
Test_145,-30,67,13324.0585517,2,2,high,ok
Test_146,-11,38,10037.7046515,2,2,high,ok
Test_147,-69,-49,12964.2852989,1,1,high,ok
Test_148,41,-14,10413.3784557,2,2,high,ok
Test_149,22,-68,12470.1180562,2,2,high,ok
Test_150,5,-35,9229.30596651,2,2,high,ok
Test_151,-53,6,10766.0987218,2,2,high,ok
Test_152,-52,62,13812.48164,1,1,high,ok
Test_153,-82,-88,5030.14365757,1,1,high,ok
Test_154,24,53,12557.1419762,2,2,high,ok
Test_155,19,48,11654.7232054,2,2,high,ok
Test_156,74,-74,7350.55346826,1,1,high,ok
Test_157,-59,-37,14000.2344445,2,1,high,ok
Test_158,76,3,10607.8953211,2,2,high,ok
Test_159,-58,75,10198.5277422,1,1,high,ok
Test_160,27,5,7915.50875836,3,3,high,ok
Test_161,47,-42,15470.7981034,1,1,high,ok
Test_162,-4,55,10936.6866621,2,2,high,ok
Test_163,-78,84,5655.05581872,1,1,high,ok
Test_164,-8,62,11269.0898655,2,2,high,ok
Test_165,6,-37,9598.69325311,2,2,high,ok
Test_166,-22,23,9513.83731165,2,2,high,ok
Test_167,-71,-50,12440.6491104,1,1,high,ok
Test_168,-16,-87,11326.5790758,2,2,high,ok
Test_169,-46,-76,12994.3439677,1,1,high,ok
Test_170,1,-16,6386.51713251,3,3,high,ok
Test_171,80,66,7777.08112666,1,1,high,ok
Test_172,7,42,10045.5654489,2,2,high,ok
Test_173,68,90,6932.80719457,1,1,high,ok
Test_174,-69,28,12880.5091841,2,2,high,ok
Test_175,66,18,11723.8417724,2,2,high,ok
Test_176,-56,-10,11063.3106912,2,2,high,ok
Test_177,65,-4,10808.6130166,2,2,high,ok
Test_178,79,72,6871.07398847,1,1,high,ok
Test_179,36,-84,13329.6451674,2,1,high,ok
Test_180,22,-27,10233.4377325,2,2,high,ok
Test_181,-47,5,10282.293621,2,2,high,ok
Test_182,16,-60,11856.2094569,2,2,high,ok
Test_183,70,-63,10009.43025,1,1,high,ok
Test_184,58,-22,12281.2808972,2,2,high,ok
Test_185,-4,7,5713.02350373,3,3,medium,short_curve_but_usable
Test_186,61,-55,13106.4191378,1,1,high,ok
Test_187,51,-25,12479.8082266,2,2,high,ok
Test_188,-30,-6,8511.43768757,3,3,high,ok
Test_189,-82,-27,12329.4744284,2,2,high,ok
Test_190,31,-45,13356.4300829,2,1,high,ok
Test_191,-48,-78,12128.3982345,1,1,high,ok
Test_192,-34,65,13788.6295696,2,1,high,ok
Test_193,41,-83,13329.5438437,1,1,high,ok
Test_194,-29,74,13037.6177862,2,1,high,ok
Test_195,43,37,14179.7207757,1,1,high,ok
Test_196,-73,89,6124.67629782,1,1,high,ok
Test_197,-41,12,10227.5098708,2,2,high,ok
Test_198,-64,-44,14604.6823308,1,1,high,ok
Test_199,-62,-53,13399.5175846,1,1,high,ok
Test_200,35,82,13238.3779066,2,1,high,ok
