Test_ID,Global_Test_ID,Theta1,Theta2,Pt,type,original_type,model_predicted_type,model_confidence,p_type1,p_type2,p_type3,confidence,data_quality,review_note
Test_001,Test_251,-49,-84,11286.8981278139,1,1,1,0.999964,0.999964,0.000030,0.000006,high,ok,accepted_original_label
Test_002,Test_252,65,34,13582.2521258956,2,2,2,0.999927,0.000053,0.999927,0.000020,high,ok,accepted_original_label
Test_003,Test_253,-32,69,13513.0108475982,2,2,2,0.999989,0.000008,0.999989,0.000004,high,ok,accepted_original_label
Test_004,Test_254,37,74,13705.9211705737,2,2,2,0.999965,0.000026,0.999965,0.000009,high,ok,accepted_original_label
Test_005,Test_255,26,-62,13013.3135295636,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_006,Test_256,-82,-54,10170.3964361413,1,1,1,0.999983,0.999983,0.000014,0.000003,high,ok,accepted_original_label
Test_007,Test_257,6,36,9442.08941007177,2,2,2,0.999998,0.000001,0.999998,0.000001,high,ok,accepted_original_label
Test_008,Test_258,-45,-78,13161.0485787146,1,1,1,0.999992,0.999992,0.000006,0.000002,high,ok,accepted_original_label
Test_009,Test_259,-65,69,9961.52899816816,1,1,1,0.999996,0.999996,0.000003,0.000001,high,ok,accepted_original_label
Test_010,Test_260,47,-18,11343.954739039,2,2,2,0.999998,0.000001,0.999998,0.000001,high,ok,accepted_original_label
Test_011,Test_261,-53,83,10375.5603699807,1,1,1,0.999954,0.999954,0.000038,0.000007,high,ok,accepted_original_label
Test_012,Test_262,-4,70,10994.1934761941,2,2,2,0.999997,0.000002,0.999997,0.000001,high,ok,accepted_original_label
Test_013,Test_263,-23,-67,12565.0977150335,2,2,2,0.999999,0.000000,0.999999,0.000000,high,ok,accepted_original_label
Test_014,Test_264,76,48,12438.9435892673,1,1,1,0.999999,0.999999,0.000000,0.000000,high,ok,accepted_original_label
Test_015,Test_265,-19,30,10008.7917364659,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_016,Test_266,38,-75,13749.6594938108,2,1,2,0.999997,0.000002,0.999997,0.000001,model_high,ok,reclassified_by_current_csv_model
Test_017,Test_267,49,53,14337.2223443229,1,1,1,0.999998,0.999998,0.000001,0.000001,high,ok,accepted_original_label
Test_018,Test_268,2,72,10946.4904450555,2,2,2,0.999997,0.000002,0.999997,0.000001,high,ok,accepted_original_label
Test_019,Test_269,41,-22,11459.2114973758,2,2,2,0.999999,0.000000,0.999999,0.000000,high,ok,accepted_original_label
Test_020,Test_270,-21,8,7380.45064142783,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
